identifier,pkt,sample_idx,rssi,ant_array,channel,i,q
0.0,0.0,0.0,0.0,0.0,17.0,400.0,0.0
0.0,0.0,0.0,0.0,0.0,17.0,369.5518130045147,-153.07337294603582
0.0,0.0,0.0,0.0,0.0,17.0,282.84271247461896,-282.8427124746191
0.0,0.0,0.0,0.0,0.0,17.0,153.073372946036,-369.55181300451466
0.0,0.0,0.0,0.0,0.0,17.0,-7.347880794884119e-14,-400.0
0.0,0.0,0.0,0.0,0.0,17.0,-153.0733729460358,-369.5518130045147
0.0,0.0,0.0,0.0,0.0,17.0,-282.8427124746191,-282.84271247461896
0.0,0.0,0.0,0.0,0.0,17.0,-369.5518130045147,-153.07337294603587
0.0,0.0,0.0,0.0,0.0,17.0,-400.0,4.898587196589413e-14
0.0,0.0,0.0,0.0,0.0,17.0,-369.5518130045147,153.07337294603596
0.0,0.0,0.0,0.0,0.0,17.0,-282.84271247461896,282.842712474619
0.0,0.0,0.0,0.0,0.0,17.0,-153.0733729460359,369.5518130045147
0.0,0.0,0.0,0.0,0.0,17.0,2.4492935982947064e-14,400.0
0.0,0.0,0.0,0.0,0.0,17.0,153.07337294603593,369.5518130045147
0.0,0.0,0.0,0.0,0.0,17.0,282.842712474619,282.842712474619
0.0,0.0,0.0,0.0,0.0,17.0,369.5518130045147,153.0733729460359
0.0,0.0,0.0,0.0,0.0,17.0,400.0,0.0
0.0,0.0,0.0,0.0,0.0,17.0,369.5518130045147,-153.07337294603582
0.0,0.0,0.0,0.0,0.0,17.0,282.84271247461896,-282.8427124746191
0.0,0.0,0.0,0.0,0.0,17.0,153.073372946036,-369.55181300451466
0.0,0.0,0.0,0.0,0.0,17.0,-7.347880794884119e-14,-400.0
0.0,0.0,0.0,0.0,0.0,17.0,-153.0733729460358,-369.5518130045147
0.0,0.0,0.0,0.0,0.0,17.0,-282.8427124746191,-282.84271247461896
0.0,0.0,0.0,0.0,0.0,17.0,-369.5518130045147,-153.07337294603587
0.0,0.0,0.0,0.0,0.0,17.0,-400.0,4.898587196589413e-14
